STATE_UT,DISTRICT,BLOCK,VILLAGE,LATITUDE,LONGITUDE,Date,DTWL
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lambasingi,17.8071,82.4959,2016-05-01,2.13
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lambasingi,17.8071,82.4959,2015-05-01,2.24
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lambasingi,17.8071,82.4959,2014-05-01,2.23
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lotugadda,17.8554,82.4361,2024-05-10,2.01
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lotugadda,17.8554,82.4361,2023-05-01,1.0
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lotugadda,17.8554,82.4361,2022-05-01,2.22
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lotugadda,17.8554,82.4361,2019-05-01,1.21
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lotugadda,17.8554,82.4361,2018-05-01,0.96
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lotugadda,17.8554,82.4361,2017-05-01,0.91
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lotugadda,17.8554,82.4361,2016-05-01,0.91
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lotugadda,17.8554,82.4361,2015-05-01,0.96
Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lotugadda,17.8554,82.4361,2014-05-01,1.11
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chintoor,17.756,81.387,2024-05-10,9.37
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chintoor,17.756,81.387,2023-05-01,8.23
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chintoor,17.756,81.387,2022-05-01,8.44
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chintoor,17.756,81.387,2019-05-01,9.35
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chintoor,17.756,81.387,2018-05-01,9.2
Andhra Pradesh,Alluri Sitharama Raju,Chintoor,Chintoor,17.756,81.387,2017-05-01,7.1
